variable,split,performance,metric,ibs,variance,num_classes,N,missing_rate,model,restored
dx,1,0.8452,f1_weighted,,1.0,2,252,0.0,RidgeClassifier,False
dx,2,0.8254,f1_weighted,,1.0,2,252,0.0,RidgeClassifier,False
dx,3,0.7976,f1_weighted,,1.0,2,252,0.0,RidgeClassifier,False
dx,4,0.8566,f1_weighted,,1.0,2,251,0.0,RidgeClassifier,False
dx,5,0.8207,f1_weighted,,1.0,2,251,0.0,RidgeClassifier,False
Group,1,0.5534,f1_weighted,,1.5409,3,206,0.0,RidgeClassifier,False
Group,2,0.568,f1_weighted,,1.5409,3,206,0.0,RidgeClassifier,False
Group,3,0.6359,f1_weighted,,1.5409,3,206,0.0,RidgeClassifier,False
Group,4,0.6068,f1_weighted,,1.5419,3,206,0.0,RidgeClassifier,False
Group,5,0.5631,f1_weighted,,1.5419,3,206,0.0,RidgeClassifier,False
sex,1,0.8105,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,2,0.8368,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,3,0.7947,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,4,0.8053,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
sex,5,0.8368,f1_weighted,,1.0,2,190,0.0,RidgeClassifier,False
Age,1,0.1936,r2,,1.0369160293690478,,164,0.0,Ridge,False
Age,2,0.3924,r2,,0.989972355200045,,164,0.0,Ridge,False
Age,3,0.2918,r2,,0.9545276243621046,,163,0.0,Ridge,False
Age,4,0.3589,r2,,1.0236872629418658,,163,0.0,Ridge,False
Age,5,0.4339,r2,,0.9928877214260279,,163,0.0,Ridge,False
